accession_code,ProtT5_32_dim_0,ProtT5_32_dim_1,ProtT5_32_dim_2,ProtT5_32_dim_3,ProtT5_32_dim_4,ProtT5_32_dim_5,ProtT5_32_dim_6,ProtT5_32_dim_7,ProtT5_32_dim_8,ProtT5_32_dim_9,ProtT5_32_dim_10,ProtT5_32_dim_11,ProtT5_32_dim_12,ProtT5_32_dim_13,ProtT5_32_dim_14,ProtT5_32_dim_15,ProtT5_32_dim_16,ProtT5_32_dim_17,ProtT5_32_dim_18,ProtT5_32_dim_19,ProtT5_32_dim_20,ProtT5_32_dim_21,ProtT5_32_dim_22,ProtT5_32_dim_23,ProtT5_32_dim_24,ProtT5_32_dim_25,ProtT5_32_dim_26,ProtT5_32_dim_27,ProtT5_32_dim_28,ProtT5_32_dim_29,ProtT5_32_dim_30,ProtT5_32_dim_31
P01160,-0.47749865,-0.4648078,-1.1665598,0.44490337,1.1197357,0.980566,-0.57398033,-0.5748496,0.022515167,0.1794131,0.5929185,0.379172,-1.1076201,-0.53425527,1.085242,0.648901,0.9502464,0.15860865,0.26209742,-0.0075719953,0.29778656,-0.66942227,-0.30591875,0.23919752,0.4514437,-0.62579733,-0.59357953,-0.3032363,0.3500199,-0.033551022,-0.6903975,0.24724527
Q8RNU2,0.6885905,0.23274298,1.0761044,-0.3933025,-1.0479937,-0.7405691,0.29130533,0.3357386,0.046666104,0.18384062,-0.8188169,-0.45594448,0.8408197,-0.038851112,-1.0538919,-0.6235267,-0.7613448,0.17432371,-0.14323092,-0.13746347,-0.45040312,0.4206648,0.07466321,-0.16836882,-0.633488,0.8394616,0.77781606,0.6324533,-0.23465598,-0.1088784,0.36521962,-0.5651592
P01593,-0.15534228,-0.04926867,-0.2171584,0.26172984,0.14743102,0.06099816,-0.10798154,0.027805954,0.24352165,-0.47659415,-0.22378552,0.08754756,-0.22923747,-0.2774105,0.23802815,0.092278555,0.21479343,0.061690643,0.102234006,-0.1484618,-0.271093,-0.21724564,-0.20962986,-0.027029226,-0.12816244,-0.23892082,-0.01784715,-0.25908408,0.10541257,-0.06785682,-0.4198228,-0.38298565
P01594,-0.15534228,-0.04926867,-0.2171584,0.26172984,0.14743102,0.06099816,-0.10798154,0.027805954,0.24352165,-0.47659415,-0.22378552,0.08754756,-0.22923747,-0.2774105,0.23802815,0.092278555,0.21479343,0.061690643,0.102234006,-0.1484618,-0.271093,-0.21724564,-0.20962986,-0.027029226,-0.12816244,-0.23892082,-0.01784715,-0.25908408,0.10541257,-0.06785682,-0.4198228,-0.38298565
P06993,0.43419197,0.096348,0.602045,-0.22220504,-0.5379037,-0.3233746,0.113641016,0.01547078,0.029445563,0.31738913,-0.49740696,-0.16998738,0.37879032,-0.23806724,-0.6766806,-0.34710446,-0.36986446,0.21081719,-0.0485355,-0.10383192,-0.2310868,0.1863035,0.014653921,-0.012415247,-0.38341397,0.536734,0.54147637,0.49341,-0.107706904,-0.15874887,0.17927906,-0.39018202
Q8DTS9,0.6784348,0.23318578,1.079491,-0.38759032,-1.0509363,-0.74610436,0.29606974,0.32547528,0.06124829,0.17541257,-0.828447,-0.4315494,0.8368882,-0.04602103,-1.0661843,-0.62846255,-0.7569712,0.17569055,-0.14421204,-0.13508007,-0.45872778,0.41805232,0.07389991,-0.15721808,-0.6386059,0.83208823,0.789009,0.632263,-0.2256926,-0.12382453,0.359839,-0.57586855
O00204,-0.19529414,-0.013623588,-0.29724896,0.30761656,0.22046727,0.046489168,-0.11429297,0.06610436,0.22790544,-0.60699815,-0.22170416,0.081488065,-0.25875616,-0.25967786,0.3652665,0.13441156,0.2405645,0.01518634,0.1271291,-0.17950398,-0.29119426,-0.22707501,-0.23033975,-0.053256743,-0.11516088,-0.33486104,-0.07741077,-0.40643886,0.07737689,-0.031695113,-0.47751465,-0.40151197
P00533,-0.25543135,-0.15489383,-0.54861003,0.31826517,0.45721805,0.35957018,-0.2650275,-0.14491284,0.22113448,-0.33774042,0.03750226,0.18447882,-0.52765197,-0.36346725,0.50035024,0.29868054,0.4871344,0.08330703,0.15708958,-0.100286566,-0.10657021,-0.37757653,-0.2669577,0.07709601,0.05429978,-0.41681504,-0.20074973,-0.292024,0.20750278,-0.07074644,-0.53110754,-0.15618265
Q8WZ42,0.24580821,0.07372902,0.38411808,-0.06811063,-0.35838825,-0.25204474,0.073250614,0.04419899,0.09188464,0.016272575,-0.45465937,-0.08142936,0.22394662,-0.2392573,-0.41926605,-0.2506302,-0.22359659,0.14074624,-0.0021762736,-0.1376297,-0.27407616,0.07609047,-0.050601438,-0.021221953,-0.32488552,0.29523677,0.39316788,0.22860768,-0.061810598,-0.13330935,-0.0035261363,-0.4367714
P12318,-0.39925414,-0.18662943,-0.84271044,0.43385676,0.75893384,0.511409,-0.37976256,-0.20592326,0.14359441,-0.3825299,0.25972334,0.2699268,-0.76699114,-0.42431366,0.84192514,0.45066276,0.6320755,0.0044545233,0.26893887,-0.16881204,-0.010307901,-0.4639728,-0.30760914,0.13094766,0.17395169,-0.6369991,-0.37585148,-0.52229,0.19741943,-0.010052875,-0.62984824,-0.09265689
P06907,-0.37144122,-0.20836303,-0.8269167,0.40983787,0.7279958,0.54159504,-0.38324046,-0.23796657,0.17096178,-0.3163364,0.24979022,0.27469596,-0.7624672,-0.4325385,0.77777565,0.46000114,0.65916187,0.046216086,0.23960304,-0.119424626,-0.0018834397,-0.47223416,-0.30821455,0.14980462,0.17752731,-0.6056159,-0.3585828,-0.431972,0.23559126,-0.044445567,-0.62525284,-0.05023749
O15305,0.6158392,0.20146935,0.9864132,-0.35037565,-0.9315378,-0.6500394,0.26697502,0.22433558,0.06575589,0.22794041,-0.7709032,-0.3304657,0.72750205,-0.11017857,-1.0062542,-0.58068717,-0.6687634,0.19406731,-0.13202684,-0.12601033,-0.40691152,0.36102432,0.0776006,-0.11345019,-0.58420205,0.77754295,0.7556689,0.6145179,-0.19437242,-0.15236214,0.32452753,-0.5544753
P14550,0.5757875,0.21021692,0.99467057,-0.31512877,-0.9411616,-0.68505114,0.27819723,0.26658884,0.06760113,0.1345003,-0.7812271,-0.3100343,0.7383775,-0.106286824,-0.9847036,-0.5926621,-0.6947473,0.15305679,-0.102062374,-0.1561986,-0.44195908,0.37768763,0.065351844,-0.113938,-0.6030788,0.7425197,0.74899197,0.5428696,-0.21126187,-0.1474853,0.3075768,-0.6165236
P67870,0.6778083,-0.052347116,0.5965996,-0.38433307,-0.566685,-0.14968541,0.031771265,-0.096821226,-0.07304904,0.8965686,-0.35467649,-0.32916644,0.3919573,-0.20931073,-0.775789,-0.2899555,-0.3265356,0.3938015,-0.13711137,0.06957206,-0.048101164,0.14075404,0.05847481,0.004479235,-0.2803208,0.77757525,0.52631605,0.9276079,-0.021369845,-0.14829528,0.27748838,-0.05534786
P28482,0.7144873,0.01975312,0.70266247,-0.40214142,-0.6794898,-0.27980295,0.09261144,-0.006466709,-0.050259884,0.7753426,-0.47411013,-0.38497853,0.50540453,-0.1612398,-0.84875816,-0.36212805,-0.42382362,0.3691888,-0.16373959,0.04539611,-0.1294601,0.19663453,0.074697405,-0.05744032,-0.359221,0.81187767,0.5838108,0.8917035,-0.070461154,-0.13652617,0.3038665,-0.14425106
P09914,-0.19473025,-0.08833935,-0.3535896,0.27648616,0.2738509,0.17498033,-0.16494948,-0.0014324114,0.19612789,-0.44391358,-0.11784051,0.06932495,-0.34569237,-0.28734413,0.4011801,0.18605708,0.31376863,0.050145976,0.12636074,-0.14616603,-0.20189005,-0.27167696,-0.24338213,-0.0042640287,-0.04716013,-0.30168885,-0.11571421,-0.30454016,0.13133505,-0.026040211,-0.46748543,-0.2884903
Q7Z3B3,-0.3632361,-0.20748673,-0.82645446,0.39502558,0.72909075,0.5370245,-0.37589067,-0.21729076,0.14148106,-0.31496286,0.24842483,0.23744619,-0.7557774,-0.41209784,0.80730444,0.45539024,0.6453161,0.029082812,0.2386738,-0.13104174,0.0022847056,-0.4685436,-0.30786526,0.13398509,0.18299535,-0.59250426,-0.3699874,-0.44888297,0.22008127,-0.019974701,-0.62361705,-0.043175705
O95868,-0.4451781,-0.3310156,-1.0218338,0.45478895,0.9288309,0.7378304,-0.48352215,-0.3563189,0.10538365,-0.14362465,0.4473866,0.3475836,-0.9452378,-0.49054536,0.95923835,0.5674975,0.7953245,0.05198527,0.2920652,-0.10907403,0.12387557,-0.5585544,-0.31417868,0.21677579,0.30471984,-0.66963434,-0.47669968,-0.4294121,0.28076535,-0.035708614,-0.6790385,0.067906365
E7EZF3,0.24634612,0.09857504,0.46514684,-0.07211782,-0.43334484,-0.320035,0.10889476,0.09639462,0.1074885,-0.05403985,-0.519082,-0.08585803,0.28780812,-0.22943635,-0.47488546,-0.29884398,-0.2897192,0.1164484,-0.001107242,-0.16260026,-0.32201487,0.11612007,-0.043113455,-0.03872314,-0.36818525,0.32253456,0.4321715,0.21221195,-0.08602385,-0.13651869,0.017605424,-0.5146719
Q16659,0.25650084,-0.044776842,0.10987994,-0.084570564,-0.087664805,0.020507872,-0.06901513,-0.1093746,-0.01744913,0.3215015,-0.18906385,-0.116700426,0.002750717,-0.27748543,-0.17406905,-0.047856163,-0.0048366236,0.20772064,0.022401392,-0.064868726,-0.06771207,-0.043692842,-0.094278924,0.041750573,-0.13819481,0.23757033,0.22110914,0.30692118,0.015305713,-0.086431354,-0.057123303,-0.13412729
O14526,-0.024526715,-0.058613785,-0.10457874,0.14540634,0.061048117,0.053214464,-0.086291514,-0.0052097887,0.18198244,-0.24351417,-0.23541659,0.026608892,-0.15532154,-0.27228355,0.0895772,0.035961755,0.15510093,0.10671367,0.06583884,-0.1203635,-0.21264228,-0.17940108,-0.16895044,-0.010453969,-0.13224176,-0.08120999,0.06779454,-0.07629235,0.09027424,-0.080538936,-0.3195512,-0.3078829
P14099,-0.17767468,-0.03842157,-0.26222324,0.28029352,0.1926914,0.06739558,-0.11376099,0.043464594,0.23154972,-0.53275377,-0.21531773,0.08472339,-0.25480524,-0.2720837,0.30962437,0.11945008,0.23804463,0.037780255,0.115849435,-0.16333604,-0.27101868,-0.2292589,-0.22253603,-0.03562823,-0.11208336,-0.2857325,-0.05262415,-0.32966712,0.09653932,-0.04738553,-0.4513258,-0.3829792
Q9Y0D3,0.66559416,0.21501304,1.0262147,-0.3765323,-0.9864581,-0.6908117,0.275268,0.28729236,0.037967045,0.22378859,-0.7862234,-0.4177478,0.7890976,-0.06541328,-1.0153817,-0.59732234,-0.72031724,0.18771343,-0.14007631,-0.13055855,-0.41810548,0.3900317,0.07827164,-0.1539369,-0.6016694,0.81924653,0.75543046,0.62760043,-0.22004855,-0.11404609,0.35003826,-0.5473118
Q9CW03,0.68671346,0.10124853,0.80923027,-0.386423,-0.7640732,-0.42630854,0.16034445,0.07343111,-0.0102241,0.5761967,-0.59266245,-0.36895686,0.59280854,-0.14411527,-0.9088334,-0.44253707,-0.51822644,0.30909795,-0.15460274,-0.024742097,-0.2285049,0.26190475,0.08034471,-0.089729466,-0.44370347,0.802684,0.65326333,0.7814797,-0.12782589,-0.13689499,0.31608388,-0.29922754
P02585,0.7561828,0.08925784,0.8189218,-0.42358437,-0.81508964,-0.41836512,0.15056288,0.102584474,-0.030503195,0.652893,-0.5972805,-0.46646577,0.63306093,-0.098092705,-0.9184687,-0.43318847,-0.53234524,0.34467146,-0.19037066,0.025448155,-0.21370955,0.2587297,0.0777524,-0.12651493,-0.4436367,0.85877043,0.63755774,0.86806583,-0.11228302,-0.11513227,0.33487764,-0.22784212
O54983,0.5843143,0.19689102,0.975133,-0.3259448,-0.91743064,-0.65065837,0.26408023,0.24742067,0.05038606,0.18309128,-0.75658894,-0.32883698,0.7173403,-0.110721946,-0.9645736,-0.57307863,-0.67454356,0.1683561,-0.10743511,-0.14738123,-0.41163546,0.3668036,0.065882444,-0.115399234,-0.58264357,0.75410783,0.73395944,0.56486654,-0.20677191,-0.13679647,0.31263813,-0.58145154
Q9H6Y7,-0.21748084,-0.10255392,-0.46172255,0.30969438,0.36704266,0.23604193,-0.20585005,-0.0516211,0.20828354,-0.43088275,-0.05711563,0.119083844,-0.42337334,-0.31073967,0.47030765,0.24315,0.38629854,0.057157673,0.1411056,-0.13272592,-0.1708873,-0.32268792,-0.25090462,0.01849774,-0.01192598,-0.37915617,-0.1597887,-0.3385893,0.1554487,-0.036246702,-0.51408947,-0.23851827
P01704,-0.19012624,-0.043080598,-0.26013863,0.28926912,0.18972409,0.07537548,-0.119238,0.023780793,0.2545336,-0.5293383,-0.21230379,0.11341914,-0.26181263,-0.28526774,0.28225243,0.113519475,0.24367286,0.047754884,0.11434667,-0.15596482,-0.27517134,-0.23600906,-0.22129658,-0.024374241,-0.11436817,-0.29008204,-0.042727828,-0.31468236,0.10969095,-0.06734699,-0.44797352,-0.39032155
P0CY35,0.7997301,0.23598851,1.0244153,-0.43571097,-1.0380728,-0.6997828,0.25516528,0.32266423,0.011578221,0.34092313,-0.79688966,-0.5675571,0.8481868,-0.0014052987,-1.0342748,-0.579229,-0.7345479,0.2533575,-0.19964685,-0.059882224,-0.3885739,0.37292522,0.08085756,-0.22734943,-0.6040633,0.8862523,0.7475667,0.7371857,-0.20776382,-0.0732145,0.3887482,-0.42549932
O48737,0.3081445,0.08863421,0.49992877,-0.1299426,-0.45911136,-0.30718654,0.10255694,0.0894131,0.037444387,0.08518225,-0.47878698,-0.16812187,0.31025758,-0.21909794,-0.4819187,-0.29210815,-0.32421803,0.13550553,-0.008990224,-0.15251428,-0.2790603,0.15945107,-0.03391564,-0.034507245,-0.36099783,0.40587276,0.4324011,0.29935008,-0.11118738,-0.102149226,0.08036795,-0.4557361
O24146,0.6276211,0.1633979,0.912571,-0.35212758,-0.8561947,-0.56478465,0.22536498,0.17356941,0.02218895,0.34189814,-0.694329,-0.35037792,0.6688197,-0.12372485,-0.9436321,-0.52530444,-0.61287093,0.23021191,-0.1301239,-0.10052471,-0.3347031,0.32334232,0.07304855,-0.10899367,-0.5283013,0.7775923,0.70722675,0.64978635,-0.17700508,-0.13213527,0.31775412,-0.47057998
Q9JL25,-0.24639806,-0.18285578,-0.62839514,0.3066139,0.5300285,0.42351326,-0.29775918,-0.15297839,0.15790755,-0.27729857,0.106865466,0.13367325,-0.5804059,-0.35197538,0.6062656,0.35274827,0.53291976,0.07628992,0.16512415,-0.09925133,-0.05336915,-0.3996941,-0.27865872,0.07840159,0.10648311,-0.42832732,-0.26286444,-0.3037156,0.20699361,-0.029042155,-0.54852104,-0.074324064
H2C3I7,0.57717466,0.22388633,1.0278028,-0.3121142,-0.9737216,-0.72925055,0.28949234,0.32430267,0.05899297,0.07807777,-0.7959317,-0.33789146,0.7770727,-0.08507252,-0.9833403,-0.6064782,-0.7408066,0.12009497,-0.08276923,-0.1779911,-0.47165605,0.4129339,0.059078917,-0.12970075,-0.62733775,0.7457697,0.7480111,0.5101702,-0.23802847,-0.12927881,0.31605506,-0.65156716
P40054,0.6120183,0.15703781,0.8846318,-0.34791246,-0.82318795,-0.5424597,0.2140888,0.17780086,-0.0026042275,0.33293325,-0.66596913,-0.3638725,0.6468411,-0.12608674,-0.8936467,-0.5071831,-0.59885246,0.21281298,-0.11461751,-0.11704478,-0.31903732,0.32364154,0.06457242,-0.10886099,-0.5097307,0.7603704,0.6776805,0.6201836,-0.19151014,-0.1133297,0.30883402,-0.46088457
Q07637,0.6302853,0.2036797,1.0059395,-0.36085752,-0.9555136,-0.6666454,0.2689452,0.2680475,0.03793319,0.21103907,-0.7685442,-0.38656354,0.75428075,-0.08697203,-0.99135476,-0.58516335,-0.69713634,0.17836562,-0.12501962,-0.14093836,-0.40993378,0.3838871,0.07112196,-0.13468927,-0.5909099,0.7956097,0.74419165,0.6033076,-0.21838784,-0.121653035,0.33602926,-0.55659837
Q8DQX8,0.6283501,0.22963805,1.0742707,-0.35706148,-1.0310192,-0.7482494,0.30100653,0.3246217,0.07024787,0.12093608,-0.8259609,-0.37858063,0.81751466,-0.06591757,-1.0504189,-0.63043237,-0.7547454,0.14681919,-0.11719276,-0.157628,-0.47459078,0.42313457,0.06759313,-0.13705647,-0.6420096,0.7978654,0.7852638,0.58083344,-0.23076218,-0.1371549,0.34219882,-0.6227798
Q9H0A6,-0.3304916,-0.14696947,-0.6980806,0.3843366,0.6019139,0.41321257,-0.312612,-0.15607437,0.18798463,-0.412966,0.12582526,0.21902037,-0.63882536,-0.38392222,0.68284607,0.37892312,0.5538302,0.034548014,0.2104912,-0.13792643,-0.07774078,-0.41705823,-0.2947293,0.09422408,0.102268614,-0.5475428,-0.29035965,-0.4439461,0.19676545,-0.033842005,-0.59259003,-0.14066476
O33983,0.29524636,0.15041284,0.6473916,-0.105856664,-0.60592985,-0.4737065,0.17929122,0.19167107,0.10165468,-0.1015531,-0.62219965,-0.12906042,0.44041383,-0.19626203,-0.61104244,-0.4005165,-0.45077,0.08335227,-0.0042174645,-0.19517939,-0.40629128,0.22961202,-0.02160906,-0.065688804,-0.46652514,0.4206183,0.5215547,0.2384148,-0.15107992,-0.13620038,0.09701654,-0.6316756
O50202,0.7044109,0.08848114,0.8155511,-0.40202713,-0.77906835,-0.42263946,0.15783036,0.09214466,-0.0316375,0.6015802,-0.58619475,-0.41332614,0.6082693,-0.12400025,-0.8962678,-0.44158387,-0.52737385,0.3095642,-0.15854782,-0.020337816,-0.21901149,0.2663192,0.07594879,-0.10530981,-0.43773982,0.82704186,0.64090466,0.80251133,-0.13139845,-0.11722973,0.32127517,-0.2788409
Q59263,0.36894265,0.1784182,0.784478,-0.16620924,-0.72616607,-0.5628629,0.221906,0.24581861,0.07483865,-0.06385301,-0.68146574,-0.19085562,0.55315757,-0.16956645,-0.7202301,-0.46941343,-0.56091595,0.074470595,-0.013646912,-0.20914985,-0.4370417,0.31527802,0.0036338866,-0.08403185,-0.5232752,0.5276549,0.58871126,0.30608213,-0.20160705,-0.12932613,0.17580745,-0.6691801
P14907,0.6879735,0.004737586,0.51757354,-0.42204577,-0.4636978,-0.17743269,0.050422184,-0.02891589,-0.22742732,0.8271069,-0.3251131,-0.48193622,0.3768005,-0.12232971,-0.5633148,-0.28972143,-0.3285944,0.2910573,-0.11902587,-0.0044860058,-0.021350153,0.14612696,0.036942884,-0.06041222,-0.2505677,0.73426473,0.45480266,0.7458464,-0.13053258,-0.028684452,0.24825421,-0.0018098652
P0DJL7,0.5193665,0.11972296,0.7378169,-0.28829226,-0.6695674,-0.4241437,0.16157857,0.10727037,-0.017365795,0.3350046,-0.5661812,-0.28971097,0.50778633,-0.17878295,-0.7488421,-0.41742083,-0.48926097,0.20099153,-0.07316382,-0.122143894,-0.26327953,0.26298195,0.03664258,-0.06294551,-0.4346374,0.6552417,0.591697,0.54752064,-0.16194727,-0.11402121,0.24754459,-0.42233986
P09591,0.76735497,0.23859505,1.049713,-0.4289159,-1.0491077,-0.71739745,0.270713,0.32362306,0.03003766,0.28881395,-0.81047237,-0.53155243,0.8505411,-0.013548613,-1.0531051,-0.5991427,-0.74426395,0.2302945,-0.18642668,-0.086053155,-0.4117971,0.3918826,0.08009882,-0.2062212,-0.6158233,0.8759868,0.7650529,0.71188354,-0.21669805,-0.0879049,0.38411078,-0.47123832
O75792,0.2931452,0.15838303,0.6520684,-0.101051845,-0.6047569,-0.49015465,0.18657833,0.1778082,0.1307003,-0.11117442,-0.6432867,-0.087521695,0.44872725,-0.20281442,-0.64228135,-0.42195538,-0.45072562,0.08431508,-0.0060020797,-0.1916774,-0.41861296,0.21761435,-0.01299227,-0.063081495,-0.4759585,0.40890336,0.5410569,0.2418855,-0.14396146,-0.16203645,0.08995819,-0.645463
P41911,0.52056867,0.17984654,0.87858236,-0.2840124,-0.8174152,-0.58117414,0.23123461,0.22745636,0.020701308,0.15057737,-0.6884358,-0.31009835,0.6347677,-0.13477337,-0.8422076,-0.5141251,-0.6159568,0.14349307,-0.07315305,-0.16916262,-0.37984484,0.3428864,0.043513656,-0.10023793,-0.53495216,0.6816081,0.6594405,0.48483142,-0.21207309,-0.11254072,0.27142665,-0.56823707
P09913,-0.21464068,-0.10215984,-0.42575705,0.29236314,0.33848092,0.22399831,-0.19356275,-0.026361294,0.18617204,-0.43306094,-0.06876609,0.08033829,-0.40140182,-0.2966033,0.46668977,0.22730541,0.3635222,0.04851669,0.1374385,-0.14163813,-0.17462793,-0.30187756,-0.2548353,0.008961393,-0.014242746,-0.34519565,-0.15640077,-0.32898667,0.14426057,-0.019121513,-0.49457538,-0.24759221
P00423,0.032714963,-0.05281069,0.037816413,0.07494397,-0.05133938,0.02510554,-0.0669767,-0.042386178,0.17470305,-0.09275986,-0.2560182,0.031281672,-0.07943812,-0.3029337,-0.09102109,-0.03960526,0.06694378,0.13276789,0.059568558,-0.111945994,-0.20137143,-0.11100865,-0.13966163,0.020426419,-0.16832979,0.04546578,0.16389826,0.075265944,0.07107256,-0.12486882,-0.20589432,-0.32673132
Q8TBC4,0.6161354,0.15904143,0.8783124,-0.34331593,-0.81872123,-0.5381474,0.21393663,0.14475304,0.028214667,0.35633343,-0.67708087,-0.32185286,0.6378215,-0.14012502,-0.92629206,-0.5071722,-0.5846509,0.23443411,-0.12615107,-0.09612681,-0.32114646,0.3067059,0.07432073,-0.09685009,-0.51292884,0.7554156,0.69610286,0.6447692,-0.1686381,-0.1422666,0.3054624,-0.4557916
O00182,-0.11085157,0.026878245,-0.060820013,0.23825043,0.017956886,-0.098442,-0.027710222,0.11724206,0.24610737,-0.5774813,-0.36165607,0.05897691,-0.07507354,-0.23512763,0.11595321,-0.011986788,0.08683056,0.03031598,0.0864308,-0.17876655,-0.36073843,-0.13421409,-0.18446574,-0.08149702,-0.2066854,-0.17823167,0.06514054,-0.28206626,0.035696507,-0.074429795,-0.3709789,-0.5003939
P14902,-0.102765754,0.001150474,-0.046137564,0.21346271,0.0049786307,-0.06824936,-0.038281575,0.11397856,0.23074089,-0.51584965,-0.34011024,0.033999197,-0.08469607,-0.24392158,0.11683874,-0.0041726828,0.0825772,0.0359469,0.08888875,-0.17837477,-0.33466637,-0.12534273,-0.18516082,-0.069105245,-0.1990194,-0.1357949,0.06321226,-0.23425364,0.04383722,-0.06143655,-0.34938002,-0.47974336
P0A1D3,0.74360377,0.2332799,1.0542737,-0.42271438,-1.0419677,-0.715962,0.27566582,0.32051852,0.032467175,0.26745808,-0.80800474,-0.50979984,0.84248775,-0.023210302,-1.0509496,-0.60522926,-0.7443796,0.21428488,-0.17420405,-0.103006385,-0.4172619,0.39896828,0.08008519,-0.19400033,-0.61517376,0.86828583,0.76641655,0.69267297,-0.22333759,-0.09317265,0.37862727,-0.49342722
O95257,-0.06637901,-0.040363498,-0.077149786,0.18368825,0.030129556,0.002714496,-0.0704843,0.04602789,0.22352149,-0.36678964,-0.28054148,0.0458469,-0.12635109,-0.26951578,0.08922312,0.018208921,0.12106873,0.07990357,0.07751003,-0.14542043,-0.26762742,-0.1618502,-0.17446478,-0.034128405,-0.16671726,-0.10748799,0.06973554,-0.1368885,0.08167209,-0.08047668,-0.33335382,-0.39439732
P21266,0.556281,0.2058448,0.97826856,-0.30458638,-0.9208178,-0.66853714,0.2722298,0.24892765,0.07581504,0.13055128,-0.7744039,-0.28459957,0.7188644,-0.12080238,-0.9786913,-0.58536255,-0.67641324,0.15393445,-0.09936015,-0.1568165,-0.43626043,0.36665523,0.06295207,-0.103067376,-0.59221727,0.7266139,0.74478257,0.5361594,-0.20157808,-0.15735303,0.2992501,-0.61929303
Q9BYE9,-0.13253924,-0.034742817,-0.160817,0.23917744,0.099739075,0.014314663,-0.08038747,0.08184967,0.21089458,-0.49385053,-0.25997373,0.030770853,-0.17829578,-0.25174522,0.2373258,0.07069695,0.16335256,0.043029174,0.09825423,-0.16751294,-0.2891323,-0.17547703,-0.2063706,-0.051904924,-0.14787123,-0.19413094,-0.0077416003,-0.26359707,0.07371163,-0.037497327,-0.3960051,-0.41041005
Q8TBB1,-0.21663436,-0.10175433,-0.44519752,0.299181,0.35575622,0.23057798,-0.19792095,-0.040086575,0.19465157,-0.4357723,-0.065985814,0.10088717,-0.41453642,-0.30336034,0.47003978,0.23430106,0.3774317,0.04980375,0.13946529,-0.13943037,-0.17127207,-0.31537002,-0.2536877,0.015014222,-0.00996938,-0.36510867,-0.15665588,-0.3408064,0.14984277,-0.028172404,-0.507304,-0.24250482
K1MKZ7,0.5314188,0.21091379,0.9936822,-0.2929044,-0.9307114,-0.68583906,0.27966082,0.27799308,0.07602109,0.07484589,-0.77970004,-0.28325638,0.72574335,-0.1191968,-0.96650785,-0.59201825,-0.69336325,0.12440056,-0.07900278,-0.17758337,-0.4572832,0.3882712,0.05284719,-0.10411552,-0.6062215,0.71485466,0.73833835,0.4989682,-0.21963108,-0.15204477,0.2958291,-0.6546274
Q95017,0.7157899,0.018848687,0.70274717,-0.40086284,-0.6826389,-0.27597466,0.08993629,-0.010499932,-0.044356328,0.77995276,-0.47352207,-0.38098547,0.5053541,-0.16456857,-0.85715485,-0.35867798,-0.42125133,0.37574294,-0.16708915,0.05069237,-0.12847693,0.19648731,0.07455908,-0.05359453,-0.35872737,0.8135704,0.58476055,0.9022844,-0.06408881,-0.14087221,0.30572638,-0.14144695
Q15477,-0.18585387,-0.03948056,-0.31037158,0.28946707,0.23160508,0.083130375,-0.124758564,0.054249898,0.20791645,-0.54626006,-0.19164544,0.060776107,-0.27976945,-0.26030743,0.38501424,0.15048371,0.2557493,0.023658402,0.12379618,-0.17134246,-0.2609598,-0.23633265,-0.23030837,-0.044650167,-0.09492376,-0.31213748,-0.092419356,-0.36902633,0.088656396,-0.019461103,-0.47259846,-0.36257246
P00374,0.48879057,0.20630099,0.9439872,-0.25766966,-0.87954265,-0.6624504,0.27153167,0.24100617,0.10206036,0.0546778,-0.7705693,-0.21222684,0.6806433,-0.14711939,-0.9421466,-0.5766586,-0.6542803,0.12450124,-0.07312672,-0.17644325,-0.4555971,0.35254553,0.05038844,-0.08423779,-0.5901109,0.6630641,0.7282001,0.46884143,-0.19614351,-0.17682832,0.26367277,-0.6657366
O43464,-0.1708402,-0.07352571,-0.34021944,0.2724394,0.25722033,0.14043765,-0.14725211,0.011573561,0.19111383,-0.45121628,-0.14148755,0.05715803,-0.31776354,-0.2701116,0.39061254,0.17098641,0.29154566,0.050775006,0.11438659,-0.1453511,-0.21586835,-0.26330325,-0.23062003,-0.019503543,-0.06598899,-0.29517275,-0.1027596,-0.31107137,0.11664188,-0.021913692,-0.46704182,-0.2970822
P01764,0.046914496,0.026369512,0.17695741,0.08790872,-0.19085956,-0.15458052,0.018245958,0.061458133,0.20128202,-0.25925285,-0.4007612,0.017414406,0.06193229,-0.2565186,-0.18666366,-0.14326802,-0.0694378,0.09498915,0.042096753,-0.1515831,-0.31755713,-0.034993082,-0.11574234,-0.033107094,-0.2734747,0.07316318,0.2421434,0.016068652,0.009900004,-0.12522256,-0.17918235,-0.48165947
Q9HD42,0.7251306,0.029590651,0.7253014,-0.4113444,-0.7077452,-0.30365473,0.103341214,0.018501364,-0.049816903,0.7592507,-0.49649453,-0.41212237,0.5317891,-0.1438588,-0.85836744,-0.37517032,-0.44586903,0.36291403,-0.17075276,0.042532366,-0.1450441,0.21100071,0.076151684,-0.07562882,-0.374787,0.82854646,0.5901052,0.894645,-0.08059445,-0.12892362,0.31130275,-0.15459827
P27797,0.7644005,0.14440922,0.89484584,-0.4223367,-0.89004177,-0.52351934,0.19339466,0.17374554,-0.015644725,0.5355995,-0.6754532,-0.49122,0.7114288,-0.06530305,-0.9590566,-0.4905017,-0.6096214,0.31225872,-0.19503117,-0.011681844,-0.2775381,0.29935166,0.08306827,-0.16455576,-0.5016867,0.8697442,0.6803428,0.8093711,-0.15005146,-0.09806931,0.3516784,-0.31383824
